EAN;Descripción;Provincia;Precio
7790787002580;Leche Larga Vida Entera Record 1 lt;AMBA;84,00
7790787085712;Leche Larga Vida Descremada Record 1 lt;AMBA;84,00
7790787004317;Yogur Batido Entero Frutilla Ilolay 120 gr;AMBA;42,75
7790787004355;Yogur Batido Entero Vainilla Ilolay 120 gr;AMBA;42,75
7790787004461;Yogur Batido Descremado Frutilla Ilolay 120 gr;AMBA;42,75
7790787004478;Yogur Batido Descremado Vainilla Ilolay 120 gr;AMBA;42,75
7793940305009;Leche Fresca Entera Tenor Graso 3% Armonía 1lt;AMBA;61,16
7790742330703;Leche Armonía Ultra Parcialmente Descremada 2% Sachet 1 L;AMBA;61,16
7793940306006;Leche Armonía Ultra Parcialmente Descremada 1% Sachet 1 L;AMBA;61,16
7790742357007;Leche Entera Clásica Larga Vida Cartón La Serenísima 1 Lt;AMBA;109,49
7790742357403;Leche Parcialmente Descremada Larga Vida Tenor Graso 2 % La Serenísima 1 Lt;AMBA;112,82
7790742362100;Leche Descremada Uat La Serenisima 1 Lt;AMBA;78,18
7790742436108;Leche en Polvo Entera La Serenisima 200g;AMBA;184,63
7790742436405;Leche en Polvo Descremada Fortificada La Serenísima 400 Gr;AMBA;340,72
7790742770301;Crema para cocinar La Serenisima 200 cc;AMBA;129,92
7790742771506;Crema de Leche La Serenísima 520 Ml;AMBA;296,01
7790742067005;Dulce de Leche Repostero La Serenísima 400 Gr;AMBA;123,35
7790742625205;Dulce de Leche Estilo Colonial La Serenísima 400 Gr;AMBA;171,92
7790742625304;Dulce de Leche Clásico La Serenísima 400 Gr;AMBA;149,45
7793940052002;Manteca Extra La Serenísima 100 Gr;AMBA;75,15
7793940054006;Manteca La Serenísima 200 Gr;AMBA;116,58
7790742102805;Ricotta Entera Garcia 500 Gr;AMBA;209,81
7790742336200;Leche Parcialmente Descremada 2% Brick Armonia 1 Lt;AMBA;85,00
7793940361005;Leche Descremada Fortificada Uat Armonia 1% 1 Lt;AMBA;85,00
7790742330109;Crema De Leche Para Cocinar Tenor Graso 20% Armonía 200cc;AMBA;95,61
7790742437600;Leche en Polvo Modificada con Vitaminas Armonía 400 grs;AMBA;357,17
7790742437501;Leche en Polvo Modificada con Vitaminas Armonía 800 grs;AMBA;671,87
7790742669001;Manteca Untable a base de Crema y Ac. Armonía 200 Gr;AMBA;184,00
7790742329103;Queso Rallado Armonía 120 Gr;AMBA;185,00
7790742332011;láctea Bebida Armonía 900cc Vainilla;AMBA;120,00
7790742332028;láctea Bebida Armonía 900cc Frutilla;AMBA;120,00
7792798007424;Cerveza Retornable Quilmes Bajo Cero 1 lt;AMBA;112,73
7792798007219;Cerveza Retornable Quilmes Bajo Cero 970 cc;AMBA;112,73
7792798000395;Cerveza Porrón Retornable Brahma 340 cc;AMBA;44,73
7792798003778;Cerveza Porrón Retornable Budweiser 340 cc;AMBA;51,62
7792798011087;Cerveza Porrón Retornable Quilmes Clásica 340 cc;AMBA;46,32
7792798007547;Cerveza Long Neck Quilmes Clásica 340 cc;AMBA;46,32
7792798005871;Cerveza Rubia en Lata Brahma 353 cc;AMBA;74,70
7792798011018;Cerveza Rubia en Lata Quilmes Clásica 354 cc;AMBA;59,40
7791813421153;Gaseosa Naranja Mirinda 1.5 lt;AMBA;76,61
7791813777045;Gaseosa Lima Limón 7up 1.5 lt;AMBA;114,64
7791813420057;Gaseosa Cola Pepsi 500 cc;AMBA;68,43
7791813421238;Gaseosa Lima Limón H2oh! 1500 cc;AMBA;117,01
7791813113102;Bebida Isotónica Cool bue Gatorade 300 cc;AMBA;68,15
7791813113300;Bebida Isotónica Frutas tropicales Gatorade 300 cc;AMBA;68,15
7791813080022;Gaseosa Pomelo Paso de los toros 500 cc;AMBA;66,19
7791813421603;Agua Saborizada Citrus con Gas H2oh! 1.5 lt;AMBA;105,43
7791813421917;Agua Saborizada Limoneto con Gas H2oh! 1.5 lt;AMBA;105,35
7791813420583;Gaseosa Lima Limón Free 7up 500 cc;AMBA;64,26
7791813421351;Gaseosa Cola Light Pepsi 1.5 lt;AMBA;131,51
7791813423386;Gaseosa Pomelo Regular Paso de los Toros 2.25 lt;AMBA;166,76
7791813421580;Gaseosa Lima Limón Free 7up 1500 cc;AMBA;145,38
7792798010486;Cerveza Porrón Retornable Quilmes 0.0% 340 cc;AMBA;46,30
7792798007738;Cerveza Botella Retornable Quilmes 1890 1 lt;AMBA;154,81
7792798001255;Cerveza Porrón Retornable Quilmes Stout 340 cc;AMBA;52,40
7792798002153;Cerveza Porrón Retornable Andes Origen Roja 340 cc;AMBA;74,09
7791813555049;Gaseosa Cola Pepsi 1.5 lt;AMBA;135,00
7790199603467;Fideos Spaghetti De Sémola De Trigo Candeal Morixe 500gr;AMBA;71,24
7790199603474;Fideos Tallarin De Sémola De Trigo Candeal Morixe 500gr;AMBA;71,24
7790199603481;Fideos Tirabuzon De Sémola De Trigo Candeal Morixe 500gr;AMBA;71,24
7790199603504;Fideos Mostachol De Sémola De Trigo Candeal Morixe 500gr;AMBA;71,24
7790199603511;Fideos Penne Rigate De Sémola De Trigo Candeal Morixe 500gr;AMBA;71,24
7790199604075;Harina 3/0 Morixe Fortivac 1kg;AMBA;62,00
7790199604082;Harina 4/0 Morixe Fortivac 1kg;AMBA;81,12
7790199604099;Harina Leudante Morixe Fortivac 1kg;AMBA;93,60
7790199603856;Harina de Trigo Integral Morixe 1 Kg;AMBA;108,76
7790199602927;Pan Rallado Morixe 10 Un 1 Kg;AMBA;165,97
7790199602941;Rebozador Morixe 10 Un 1 Kg;AMBA;165,97
7790199603320;Avena Instantanea Morixe 300 Gr;AMBA;136,89
7790199603306;Avena Tradicional Morixe 300 Gr;AMBA;136,89
7790315000149;Agua de Mesa Sin Gas Villa del Sur 1.65 lt;AMBA;82,68
7790315058706;Agua Mineral Sin Gas Bajo Sodio Ser 1.5 lt;AMBA;63,92
7798062541397;Agua Mineral Sin Gas en Bidón Villa del Sur 6.25 lt;AMBA;224,06
7798062542073;Agua Saborizada Citrus con Gas Ser 1.5 lt;AMBA;117,26
7798062545470;Agua Mineral Sin Gas Ser 2250 cc;AMBA;79,59
7798062543919;Agua Saborizada Manzana Brio 1.5 lt;AMBA;54,11
7798062543926;Agua Saborizada Naranja Brio 1.5 lt;AMBA;54,10
7798062543933;Agua Saborizada Pomelo Brio 1.5 lt;AMBA;57,36
7798062542097;Gaseosa Citrus Ser 500 cc;AMBA;57,54
EAN;Descripción;Provincia;Precio
7798062540819;Gaseosa Citrus Ser 2250 cc;AMBA;162,85
7798062542004;Gaseosa Limón Ser 500 cc;AMBA;60,30
7798062541946;Gaseosa Limón Ser 2250 cc;AMBA;171,33
7791337000698;Postrecito Dulce de Leche Serenito 100 gr;AMBA;57,03
7791337603325;Yogur Bebible Descremado Frutilla La Serenísima 900 gr;AMBA;121,05
7791337603318;Yogur Bebible Descremado Vainilla La Serenísima 900 gr;AMBA;120,83
7791337003569;Yogur Cremoso Descremado Frutilla La Serenísima 120 gr;AMBA;45,05
7791337004160;Yogur Cremoso Entero Con Cereales Yogurísimo 166 gr;AMBA;127,83
7791337004139;Yogur Cremoso Entero Natural Yogurísimo 190 gr;AMBA;107,60
7791337004061;Yogur Firme Descremado Frutilla Ser 190 gr;AMBA;105,35
7791337003620;Queso Untable Fortificado con Vitaminas Libre de Gluten Apto Celíaco Light Casancrem 200 gr;AMBA;174,33
7791337004450;Yogur Bebible Sachet Sabor Frutilla García 900 ml;AMBA;90,59
7791337004467;Yogur Bebible Sachet Sabor Vainilla García 900 ml;AMBA;90,59
7791337003613;Queso Crema Clásico Casancream 200 gr;AMBA;174,33
7791337060500;Yogur Danonino Yogur formula infantil bebible Danonino 100 gr;AMBA;97,85
7791337004481;Yogur Intantil Sabor Vainilla Garcia 140 gr;AMBA;102,60
7791337004511;Queso Crema Formato Familiar Garcia 290 gr;AMBA;170,00
7791337003323;Yogur Bebible Entero con Probióticos Bebible Yogurisimo 185 gr;AMBA;121,48
7791337603219;Yogur LS Clásico batido entero 120 g;AMBA;42,50
7791337004474;Yogur Garcia preformado sabor frutilla 140g;AMBA;115,06
7791337002272;Yogur Ser c/ Colchon Frut y Cereal 158gr;AMBA;120,56
7795323002123;Leche Infantil 2 La Serenísima Baby 200 ml;AMBA;59,49
7795323773504;Leche Infantil 4 La Serenísima Baby 200 ml;AMBA;58,40
7792799000073;Agua Mineral con Gas Eco de Los Andes 1.5 Lt;AMBA;71,30
7792931001050;Agua Mineralizada con Gas Glaciar 1.5 Lt;AMBA;76,03
7792799000905;Agua Mineral sin Gas Nestlé Pureza Vital 1.5 Lt;AMBA;63,98
7613287376947;Alimento para Gatitos Cat Chow 500 Gr;AMBA;215,23
7613037043693;y;AMBA;88,04
7613287171610;Café Dolca Suave Sobrecito 8G;AMBA;57,28
7613287290380;Café Instantáneo Tradición;AMBA;350,60
7891000288801;Cereales NESFIT Cereal Trad Sin Azucar 24x220g XW;AMBA;390,17
7613287149145;Cacao NESCAO PTST PlvChoc s/TACC 12x300g;AMBA;118,07
7792931000022;Agua Mineralizada sin Gas Glaciar 1,5 Lt;AMBA;81,69
7792799000011;Agua Mineral sin Gas Eco de Los Andes 500 Cc;AMBA;65,36
7613287530516;Leche Infantil 3 RTD Ecosorbete;AMBA;71,55
7613287427601;NESTUMMcer s/Azr GlobalPack 10x125gAR;AMBA;223,00
7613287377210;Alimento para Gatos Adultos Sabor Pescado Cat Chow 500 Gr;AMBA;251,42
8445290055866;Alimento para gatos GATI Salmon con Pollo 10x500g AR;AMBA;216,36
