,0,1,2,3,4,5,6,7,8,9,10
203,27/01/2021 17:45:37,27/01/2021,Telegram Empleos,*****,*****,Silenciado,Comentarios en el grupo de empleos,*****,*****,*****,*****
204,28/01/2021 11:56:34,28/01/2021,Telegram Empleos,*****,*****,Silenciado,Comentario en el grupo de empleo,*****,*****,*****,*****
205,29/01/2021 15:06:33,29/01/2021,Telegram Empleos,*****,*****,Silenciado,Consulta off topic,*****,*****,*****,*****
206,30/01/2021 15:08:23,30/01/2021,Telegram Empleos,*****,*****,Eliminado,Spam de ofertas falsas,*****,*****,*****,*****
207,31/01/2021 18:36:03,31/01/2021,Telegram Empleos,*****,*****,Eliminado,Intentar ejecutar acciones en el grupo,*****,*****,*****,*****
208,1/2/2021 13:27,1/2/2021,Telegram Empleos,*****,*****,Silenciado,Comentario sobre ofertas,*****,*****,*****,*****
209,2/2/2021 21:18,2/2/2021,Telegram Empleos,*****,*****,Silenciado,intento avisar por el grupo sobre para que sirve el mismo luego de que pidieron trabajo de seguridad o limpieza,*****,*****,*****,*****
210,2/2/2021 21:20,2/2/2021,Telegram Empleos,*****,*****,Silenciado,pidio trabajo de seguridad o limpieza,*****,*****,*****,*****
211,2/2/2021 21:24,2/2/2021,Telegram Empleos,*****,*****,Silenciado,respondio una oferta de trabajo,*****,*****,*****,*****
212,5/2/2021 21:30,2/5/2021,Telegram Empleos,*****,*****,Silenciado,Spam,*****,*****,*****,*****
213,5/2/2021 21:31,5/2/2021,Telegram Empleos,*****,*****,Silenciado,Spam,*****,*****,*****,*****
214,5/2/2021 21:32,5/2/2021,Telegram Empleos,*****,*****,Silenciado,Spam,*****,*****,*****,*****
215,5/2/2021 21:32,5/2/2021,Telegram Empleos,*****,*****,Silenciado,Spam,*****,*****,*****,*****
216,5/2/2021 21:33,5/2/2021,Telegram Empleos,*****,*****,Silenciado,Spam,*****,*****,*****,*****
217,6/2/2021 11:43,6/2/2021,Telegram Empleos,*****,*****,Eliminado,Por querer tocar el bot ,*****,*****,*****,*****
218,6/2/2021 11:54,6/2/2021,Telegram Empleos,*****,*****,Eliminado,"Tocaron el bot y luego borraron el mensaje, pero en discord quedó. ",*****,*****,*****,*****
219,6/2/2021 13:21,6/2/2021,Telegram Empleos,*****,*****,Eliminado,Enviar comandos al bot,*****,*****,*****,*****
220,6/2/2021 15:29,6/2/2021,Telegram Empleos,*****,*****,Silenciado,pidió trabajo,*****,*****,*****,*****
221,7/2/2021 13:52,7/2/2021,Telegram Empleos,*****,*****,Eliminado,Por busqueda de manipulación del bot ,*****,*****,*****,*****
222,10/2/2021 18:47,10/2/2021,Telegram Empleos,*****,*****,Eliminado,Propuesta spam,*****,*****,*****,*****
223,21/02/2021 3:30:50,21/02/2021,Telegram Empleos,*****,*****,BAN,Scammer,*****,*****,*****,*****
224,21/02/2021 19:41:26,21/02/2021,Telegram Empleos,*****,*****,Silenciado,Preguntas no referidas a trabajo,*****,*****,*****,*****
225,22/02/2021 16:28:27,22/02/2021,Telegram Empleos,*****,*****,Silenciado,Publicación no laboral,*****,*****,*****,*****
226,23/02/2021 18:59:30,23/02/2021,Telegram Empleos,*****,*****,Silenciado,Consulta dentro del grupo,*****,*****,*****,*****
227,4/3/2021 13:22,3/4/2021,Telegram Empleos,*****,*****,Eliminado,Spam con virus,*****,*****,*****,*****
228,4/3/2021 14:25,4/3/2021,Telegram Empleos,*****,*****,Silenciado,Spam,*****,*****,*****,*****
